Image_Path,Class,Normalized_Class,Flavonoid,Phenolic,Tannin
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122354.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122400.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122403.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122406.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122414.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122535.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122543.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122548.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122553.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122556.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122558.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122601.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122603.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122606.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122957.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122959.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123005.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123009.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123011.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123014.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123021.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123023.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123026.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123029.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123032.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123034.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123038.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_123044.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124325.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124329.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124334.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124337.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124340.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124348.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124351.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124353.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124523.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124537.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124544.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124547.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124550.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124553.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124603.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124608.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124612.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124623.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124742.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124745.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124747.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124750.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124753.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124756.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124759.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124803.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124811.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124816.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124818.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124822.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124825.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124829.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124901.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124905.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124908.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124916.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124922.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_124924.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125604.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125607.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125610.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125612.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125619.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125622.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125627.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125631.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125634.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125637.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125639.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125642.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_125644.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250419_015531.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250419_015541.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250419_015545.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250419_015550.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250419_015554.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250419_015600.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250419_015606.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250419_015741.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165514.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165524.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165527.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165531.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165600.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165603.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165609.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165612.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165616.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165620.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165624.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165629.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165633.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165635.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165637.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165641.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165644.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_165653.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173407.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173411.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173415.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173418.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173421.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173425.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173428.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173434.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173448.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173451.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173455.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173458.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173512.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173517.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173536.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173539.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173543.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173548.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173552.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173555.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173614.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173618.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173625.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173631.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173640.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173646.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173709.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173718.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250411_173725.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105730.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105738.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105752.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105755.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105758.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105801.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105816.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105819.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105822.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105938.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105941.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105947.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105950.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_105958.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_110004.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_110011.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_110014.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 100 PPM\20250412_110121.jpg,Ascorbic 100 PPM,Ascorbic_100,15.0,57.0,27.3
